Trip,High_Consumption,Energy_per_km,Season,Distance,Velocity_mean,Velocity_max,Velocity_std,Pct_Stationary,Pct_City,Pct_Highway,Pct_Braking,Pct_Accelerating,Pct_Regen,Throttle_mean,Torque_mean,Accel_std,SoC_start,SoC_end,Battery_Temp_mean,Battery_Voltage_mean,Battery_Current_mean,Power_mean,Power_min,Ambient_Temp,Climate_Power_mean,Heating_Active_Pct,AC_Active_Pct,Temp_Diff_mean,Cabin_Temp_mean,Elevation_mean,Elevation_Change_std,Elevation_gain,SoC_Drop,Duration_min,Date,Route/Area,Weather,Distance km,Ambient Temperature (Start) C,Target Cabin Temperature
TripA11,0,0.12086788824717616,Summer,17.7317568055556,44.8118259038259,106.66,31.04418328713443,0.11189891189891189,0.4939276939276939,0.1797823797823798,0.19326079326079326,0.13085293085293084,0.09820989820989821,20.455608985608986,7.887800631800632,0.7357241634885744,87.0,75.6,27.051700947700947,386.5476447876448,-17.69799297999298,-6.71021450886627,-125.76434079999999,27.78451807651808,1.0245314145314146,0.008424008424008424,0.9001755001755002,4.9545686205686215,32.7390866970867,597.0501614601615,0.011890119743926255,71.0,11.400000000000006,23.740000000000002,2019-07-04_15-09-22,Munich East,sunny,17.7317568055556,30.0,30.0
TripA12,0,0.11287718145253786,Summer,18.6539030555556,40.98765197753906,119.52,27.433543958539143,0.1102294921875,0.50372314453125,0.0653076171875,0.15997314453125,0.18951416015625,0.09881591796875,26.291561889648438,10.507681884765624,0.8301443604018609,75.5,64.3,28.550003662109376,382.2901837158203,-15.20483154296875,-5.667218103442383,-140.4904418,27.899703979492188,0.8273614501953125,0.0125732421875,0.723876953125,-1.4300360107421868,26.469667968750002,609.247338256836,0.015116461983555023,84.99000000000001,11.200000000000003,27.305,2019-07-04_15-51-48,Munich East,sunny,18.6539030555556,26.5,25.0
TripA13,0,0.10688859478381131,Summer,4.57298555555556,22.992664804469275,49.31,14.585743947152725,0.07094972067039106,0.9290502793296089,0.0,0.17458100558659218,0.1574022346368715,0.07360335195530726,26.23717458100559,7.119498603351955,0.6053576051214061,85.8,82.9,22.0,389.66362150837983,-8.98244972067039,-3.475531917444134,-34.4895579,21.8199343575419,1.7271648044692738,1.0,0.01941340782122905,2.9511382681564253,24.771072625698324,570.2185460893854,0.00384853470578448,1.0,2.8999999999999915,11.931666666666667,2019-07-05_09-02-55,Munich East,sunny,4.57298555555556,21.0,23.0
TripA14,0,0.11059355061407858,Summer,4.92976305555556,25.550168442268934,60.5,15.8459851944358,0.025338324215375754,0.952202706593723,0.0,0.1546213648142816,0.1934926576446876,0.06017852001151742,28.043400518283903,11.439854592571264,0.6388655899391008,82.8,79.9,22.0,387.8539188021883,-9.30408580477973,-3.5736429601929167,-44.043129,22.902948459545062,0.6360754391016413,0.05686726173337173,0.38482579902101927,0.2534134753815151,23.156361934926576,570.8466153181687,0.0036510874363017433,11.0,2.8999999999999915,11.575,2019-07-05_09-18-22,Munich East,sunny,4.92976305555556,24.5,22.0
TripA15,0,0.07945575845479087,Summer,26.97350125,43.451485591551815,111.14,33.252396133624394,0.16305709683193126,0.3552890638983354,0.15057275818865223,0.09244675138714874,0.0983085734741364,0.049131913370323965,27.521293180597816,7.542434669769106,0.5313165525608664,74.8,63.4,18.018173438339,381.13573339896186,-11.391849829962412,-4.294456009110435,-49.480550900000004,18.556670395561124,0.13817925541435475,0.011276176839090747,0.023357794880973688,5.472113835689996,24.02878423125112,541.8943775729372,0.006135508662865528,28.549999999999955,11.399999999999999,37.245,2019-07-08_12-19-56,Munich East,rainy,26.97350125,19.0,23.0
TripA16,0,0.07506527053159126,Summer,28.8016013888889,54.38254746669464,116.03,26.16072591885774,0.054442463023182626,0.2803944193852932,0.1401972096926466,0.07411098290150005,0.07982796601279765,0.033148012168257635,34.64810657715305,10.711149166054756,0.4719606488287872,63.0,46.8,19.069551557746774,372.180595300535,-18.851208433861323,-6.9501997247613545,-48.524328000000004,18.00177488723382,0.14627609356970525,0.009860484632329802,0.022500786740795132,4.532312493443827,22.534087380677647,543.7714150844436,0.004962805609184251,58.0,16.200000000000003,31.775,2019-07-08_13-17-32,Munich East,rainy,28.8016013888889,19.5,23.0
TripA17,0,0.12899726498223502,Summer,12.9708176388889,69.82944070584716,130.71,37.562471319742244,0.039030955585464336,0.3276506654703155,0.5005234036189622,0.14131897711978467,0.1383280992971437,0.05697622252131,35.05212800957081,12.578034993270526,0.6498422433470878,86.8,77.9,17.558271272618516,383.8910557798714,-29.53055630327501,-11.087873232510841,-112.644,15.84430536862569,0.37059069836997155,0.05308808135187677,0.09092268580828473,8.701214296395992,24.545519665021686,581.240303574099,0.003566504418488043,10.0,8.899999999999991,11.143333333333334,2019-07-09_09-37-58,Munich East,slightly cloudy,12.9708176388889,15.5,25.0
TripA18,0,0.1187735701730321,Summer,12.1878966666667,49.814291553133515,131.7,41.78003953506547,0.24772933696639418,0.2658946412352407,0.24704813805631246,0.09355131698455948,0.12920072661217075,0.037693006357856496,27.22746821071753,10.630373524069029,0.5472386254786573,77.9,70.2,18.579410762942782,381.43161103542235,-19.464131471389646,-7.248140541541781,-88.9774936,16.74627157129882,0.8770220254314259,1.0,0.05801544050862852,9.066975476839238,25.81324704813806,569.7812534059946,0.005716856606869071,31.0,7.700000000000003,14.678333333333335,2019-07-09_09-49-09,Munich East,slightly cloudy,12.1878966666667,16.0,22.0
TripA19,0,0.09102003797980657,Summer,16.7303819444444,37.937374023683546,108.63,26.11464455356293,0.11671705719324767,0.5465482489292013,0.06330309901738473,0.17183169564121945,0.1452506928697405,0.062232300327538424,27.873263416477702,8.45820987654321,0.7157917349858253,88.5,80.4,22.0,388.24673910304864,-11.383990929705215,-4.355267005725623,-85.4909937,21.304811035525322,0.5192485512723608,0.03073822121441169,0.1200554295792391,11.545761526832957,32.85057256235827,548.4737018140589,0.004847704309623318,1.0,8.099999999999994,26.458333333333332,2019-07-09_17-48-14,Munich East,slightly cloudy,16.7303819444444,23.5,30.0
TripA20,0,0.12894605976445614,Summer,11.5179944444444,24.11303791579437,56.12,15.47419503646992,0.1166550360548965,0.8734007908816004,0.0,0.14096301465457084,0.15474528960223308,0.055594324261456156,26.601486973714817,9.394364968597348,0.6100686091164056,77.0,69.1,17.0,384.5787398232147,-10.209119562688997,-3.897351382943708,-32.0673982,14.50515643172831,1.1190864154454525,0.8617701791114213,0.0009304489416143289,9.838602000465224,24.343758432193535,537.5861525936265,0.0036294155255899943,25.0,7.900000000000006,28.658333333333335,2019-07-10_08-07-22,Munich East,slightly cloudy,11.5179944444444,14.0,26.0
